iter	Logloss
0	0.6880817413
1	0.6833209229
2	0.6786341095
3	0.6740786743
4	0.6693621826
5	0.664657135
6	0.660190506
7	0.6560118866
8	0.6513549805
9	0.6470991516
10	0.6426831055
11	0.6391342163
12	0.6350863266
13	0.6316459656
14	0.6281317139
15	0.6243339539
16	0.6205038452
17	0.6173160553
18	0.6137922668
19	0.6106795502
20	0.6073228455
21	0.603955574
22	0.6007253265
23	0.5972723389
24	0.5938124847
25	0.590616684
26	0.5876284027
27	0.5847974396
28	0.5817807388
29	0.5788629532
30	0.5760300446
31	0.5733103943
32	0.5702705002
33	0.5676077271
34	0.5649550629
35	0.5623802567
36	0.5604265594
37	0.5579286575
38	0.5554659271
39	0.5527719879
40	0.5509859467
41	0.5486327744
42	0.5464022827
43	0.5440670776
44	0.5417700195
45	0.5391946411
46	0.5369403076
47	0.5345480347
48	0.5320291901
49	0.5300469208
50	0.5281901932
51	0.5259708786
52	0.5240789795
53	0.5222537994
54	0.5203547668
55	0.5185857391
56	0.5169477844
57	0.51510849
58	0.5133613205
59	0.5114519501
60	0.5096572876
61	0.507786026
62	0.5059825897
63	0.5041472626
64	0.5028832245
65	0.5008171463
66	0.4992639923
67	0.4975891113
68	0.4956406403
69	0.4938669968
70	0.4923830414
71	0.4910454559
72	0.4895459747
73	0.4881346512
74	0.4867435837
75	0.4851030731
76	0.483475647
77	0.4821655273
78	0.4807845688
79	0.4793876266
80	0.478560791
81	0.4771759796
82	0.4760199356
83	0.4743831635
84	0.473056488
85	0.4717986298
86	0.4706437683
87	0.4694040298
88	0.4680098724
89	0.4668344879
90	0.4659382248
91	0.4646105194
92	0.4632769775
93	0.461741066
94	0.460436554
95	0.4592615509
96	0.4581796265
97	0.4571670151
98	0.4563095093
99	0.4551779938
100	0.4538568115
101	0.4527222443
102	0.4515337753
103	0.4502297974
104	0.4492559052
105	0.4483095169
106	0.4475756836
107	0.4465105057
108	0.4453076172
109	0.4443022919
110	0.4431266785
111	0.441774292
112	0.4409719086
113	0.4400148773
114	0.4388044739
115	0.4378744888
116	0.4369947815
117	0.4360466766
118	0.4353674316
119	0.4344713593
120	0.4335949326
121	0.4327758789
122	0.4317786026
123	0.430695343
124	0.4297748566
125	0.4289863586
126	0.4278944397
127	0.4270619583
128	0.4262516022
129	0.4258043289
130	0.4249376678
131	0.4240132523
132	0.4232792282
133	0.4227165985
134	0.4218972397
135	0.4210808182
136	0.4201680756
137	0.419353714
138	0.4186315918
139	0.4175847626
140	0.4167948914
141	0.4163035202
142	0.4153939056
143	0.41442276
144	0.4138521957
145	0.4131840515
146	0.4126259995
147	0.4119668579
148	0.4112230682
149	0.4102084351
150	0.4094182968
151	0.4088027573
152	0.4081806183
153	0.407492981
154	0.4068476868
155	0.4061767578
156	0.4054050064
157	0.4047064972
158	0.4037717438
159	0.4032724762
160	0.4024969482
161	0.4018489838
162	0.4012773895
163	0.4003505707
164	0.3995182419
165	0.3988642883
166	0.397936554
167	0.3973957062
168	0.3965085602
169	0.395892067
170	0.395127182
171	0.3946189117
172	0.3942215347
173	0.3936856461
174	0.3930205154
175	0.3920263672
176	0.391315918
177	0.3905065918
178	0.3900672531
179	0.3892853546
180	0.3884083557
181	0.3875582123
182	0.3869374847
183	0.3861534882
184	0.3853878784
185	0.3846196747
186	0.3840642166
187	0.3834392166
188	0.3826152802
189	0.3818061829
190	0.3807607651
191	0.3802272415
192	0.3795907593
193	0.3789188766
194	0.3782062531
195	0.3776916504
196	0.3767892075
197	0.3761463165
198	0.3754793549
199	0.3751192856
200	0.3746395493
201	0.3742483521
202	0.3737970352
203	0.373451767
204	0.372772789
205	0.3720992661
206	0.3716192627
207	0.3709462738
208	0.3704776001
209	0.3699141693
210	0.3691682816
211	0.3685575104
212	0.3681149292
213	0.3673681259
214	0.3669089127
215	0.3663974762
216	0.3659927368
217	0.3654294586
218	0.364742012
219	0.3641624069
220	0.3634885406
221	0.3629373169
222	0.3624865723
223	0.3618134308
224	0.3612608337
225	0.3606771088
226	0.3598740005
227	0.3592271042
228	0.358928833
229	0.3582081223
230	0.3575475311
231	0.357004776
232	0.3562295532
233	0.3556898499
234	0.355173111
235	0.3546696472
236	0.3539286804
237	0.3533863831
238	0.3528250504
239	0.3522849274
240	0.3517451859
241	0.3514248657
242	0.3508953857
243	0.3504437637
244	0.3498912811
245	0.3492896271
246	0.3487459946
247	0.3482637024
248	0.3479367828
249	0.3474271393
250	0.3470994186
251	0.3464541245
252	0.3459079361
253	0.3451587677
254	0.3447512817
255	0.344363327
256	0.3437753296
257	0.343274765
258	0.3429113007
259	0.3424538422
260	0.3419656372
261	0.3415738678
262	0.3408712769
263	0.3404129028
264	0.3400011444
265	0.3394818878
266	0.3391834259
267	0.3387493896
268	0.3383351898
269	0.3377334976
270	0.3373948669
271	0.3369384384
272	0.3362084961
273	0.3357221222
274	0.3351063538
275	0.334644165
276	0.3342447662
277	0.333647728
278	0.3330395508
279	0.3327287292
280	0.3322149658
281	0.3316482925
282	0.3313181305
283	0.3310186768
284	0.3307048798
285	0.3301741791
286	0.3298366547
287	0.3294097137
288	0.3290467453
289	0.3285141754
290	0.3281061554
291	0.3276530075
292	0.3273223877
293	0.3269681168
294	0.3263982391
295	0.32594841
296	0.3254611588
297	0.3248252869
298	0.324356575
299	0.3240068817
300	0.323687439
301	0.3232008743
302	0.3228968811
303	0.3224558258
304	0.322040596
305	0.3215425873
306	0.3211904144
307	0.3207276154
308	0.3201958466
309	0.3198354721
310	0.3193160629
311	0.3189668846
312	0.3186219215
313	0.3182123566
314	0.3177329636
315	0.3173547745
316	0.3167380333
317	0.316308403
318	0.3159250641
319	0.315640583
320	0.3152228165
321	0.3149660873
322	0.3146359253
323	0.3140909958
324	0.3136159897
325	0.3129715347
326	0.3124272537
327	0.312056675
328	0.3113744736
329	0.3110545158
330	0.3107326508
331	0.3103856277
332	0.3102109146
333	0.3097878456
334	0.3093004608
335	0.3088482285
336	0.3084705353
337	0.308133316
338	0.3076348114
339	0.3071175003
340	0.3068350983
341	0.3062350273
342	0.3060331345
343	0.3055092049
344	0.3050401878
345	0.3046780968
346	0.3043198967
347	0.3039580154
348	0.3035971451
349	0.3030890656
350	0.3026609421
351	0.3023594475
352	0.3021068192
353	0.3016891861
354	0.3013876152
355	0.3008442116
356	0.3003506279
357	0.3000840378
358	0.2998434639
359	0.2993226624
360	0.2989151192
361	0.2984329605
362	0.2979314041
363	0.2974436951
364	0.2970034599
365	0.2964279366
366	0.2960818863
367	0.2955956078
368	0.2952126312
369	0.2947475433
370	0.2943296051
371	0.2939785004
372	0.2935261917
373	0.2932988167
374	0.2927945328
375	0.2922868156
376	0.2918444061
377	0.2915828705
378	0.291054306
379	0.2907502556
380	0.2903534317
381	0.2898734665
382	0.2894848633
383	0.2891605759
384	0.2887528992
385	0.2883791351
386	0.2880542183
387	0.2877043533
388	0.2871943092
389	0.2867234039
390	0.2861712265
391	0.2857994843
392	0.2853496552
393	0.2849701309
394	0.2843795395
395	0.2839715767
396	0.2835837364
397	0.2832272911
398	0.2828460693
399	0.2823668289
400	0.2820219231
401	0.2817511749
402	0.2813798141
403	0.2811397171
404	0.2808510208
405	0.2802837563
406	0.2798691559
407	0.2793821526
408	0.2788082314
409	0.2782801056
410	0.2778620148
411	0.2773509979
412	0.2770798874
413	0.2767394066
414	0.2763677597
415	0.276080513
416	0.2755386925
417	0.27515131
418	0.274811821
419	0.2743087387
420	0.2740867615
421	0.2737909698
422	0.2734046173
423	0.2731378174
424	0.2728692627
425	0.2723374557
426	0.2719018555
427	0.2715172195
428	0.2712186813
429	0.2706824112
430	0.270496788
431	0.2701450157
432	0.2696462631
433	0.2693689346
434	0.2690223885
435	0.2685845947
436	0.2683967972
437	0.2681225967
438	0.2677751732
439	0.2674387169
440	0.2673914337
441	0.2671442795
442	0.2668880653
443	0.2663087845
444	0.265828743
445	0.2654797745
446	0.2651494598
447	0.2648455811
448	0.2643634796
449	0.264063797
450	0.2638515663
451	0.263559494
452	0.2633112335
453	0.2629684448
454	0.262694664
455	0.2623711205
456	0.2620620346
457	0.2615862274
458	0.2612017632
459	0.2606889915
460	0.2602316666
461	0.2598067856
462	0.2592736053
463	0.2588788795
464	0.2586484528
465	0.2582730865
466	0.2579991531
467	0.2575930405
468	0.2573879242
469	0.2571023941
470	0.2565206146
471	0.2562425613
472	0.2558379173
473	0.2554827881
474	0.2552082825
475	0.254720726
476	0.2542292213
477	0.2539067078
478	0.2536509132
479	0.2532875824
480	0.2528589249
481	0.2524540901
482	0.252258873
483	0.2518920898
484	0.2513341904
485	0.2510525894
486	0.2507962418
487	0.2505216408
488	0.2501877785
489	0.249861412
490	0.2496867752
491	0.2495052338
492	0.2493089485
493	0.2489082718
494	0.2486193085
495	0.2481495667
496	0.2478690147
497	0.2475260544
498	0.2472654724
499	0.2469211578
500	0.2464657593
501	0.2461352158
502	0.2457752037
503	0.2455267715
504	0.2452703667
505	0.2448967934
506	0.2445131683
507	0.2441560936
508	0.2438125229
509	0.2435062599
510	0.2432409477
511	0.2428669357
512	0.2423777199
513	0.2420846939
514	0.2417994499
515	0.2415505791
516	0.2411489868
517	0.2406876755
518	0.2403404617
519	0.2401021194
520	0.2398559761
521	0.2396524048
522	0.2393992615
523	0.2390618324
524	0.2387264252
525	0.2382828522
526	0.2379807663
527	0.2376571274
528	0.2373510361
529	0.2370362854
530	0.2366512108
531	0.2362932014
532	0.2359554291
533	0.2356073952
534	0.2352594757
535	0.2349241257
536	0.2346328354
537	0.2342512131
538	0.2339691353
539	0.2335888481
540	0.2332805634
541	0.2329374504
542	0.2326710129
543	0.2322579384
544	0.2318959236
545	0.2317249298
546	0.2314394951
547	0.2311502457
548	0.2309061432
549	0.2305915451
550	0.2302386093
551	0.229961319
552	0.2296182823
553	0.2293279076
554	0.2289606857
555	0.2287349701
556	0.2284715271
557	0.2281170654
558	0.2277626038
559	0.2272223091
560	0.2269158554
561	0.2266640854
562	0.2264123917
563	0.2260886002
564	0.2259257889
565	0.2256973839
566	0.2254007339
567	0.2250346565
568	0.224775486
569	0.2244990158
570	0.2242155457
571	0.2239935303
572	0.2237110901
573	0.2235190201
574	0.2232676315
575	0.223034668
576	0.2228028297
577	0.222565155
578	0.2221854401
579	0.2219630623
580	0.2216081238
581	0.2212989807
582	0.2208882713
583	0.2205440521
584	0.2203108978
585	0.2199291229
586	0.2195798492
587	0.2193128777
588	0.2189437103
589	0.2184173203
590	0.2181356812
591	0.2179430199
592	0.2176548386
593	0.2172425842
594	0.2169088745
595	0.2167074203
596	0.2165410614
597	0.2163170242
598	0.2159553146
599	0.2155104637
600	0.215149498
601	0.214736824
602	0.2144244003
603	0.2142623901
604	0.2139024353
605	0.2135845947
606	0.2133316803
607	0.2131315613
608	0.2129250717
609	0.2126880646
610	0.212524929
611	0.2122677231
612	0.2118543625
613	0.2116243744
614	0.2113542557
615	0.2111515045
616	0.2109115219
617	0.2106809998
618	0.2104401207
619	0.2101433182
620	0.2098959541
621	0.2095898056
622	0.2092778397
623	0.2089958
624	0.2086689949
625	0.2084250641
626	0.2081718636
627	0.2078412056
628	0.2075533867
629	0.2073508453
630	0.2070741653
631	0.2068192863
632	0.2065297699
633	0.2063524437
634	0.2060535431
635	0.2056961441
636	0.20545578
637	0.2052193451
638	0.2049155807
639	0.2047420311
640	0.2045652008
641	0.2042551422
642	0.2039553452
643	0.2037248039
644	0.2035107994
645	0.2033123016
646	0.2030390739
647	0.2026901627
648	0.2024343491
649	0.2021258545
650	0.2018771744
651	0.2016999817
652	0.2013357544
653	0.2011000252
654	0.2008630753
655	0.2006030464
656	0.2003273392
657	0.2000666046
658	0.1998842621
659	0.1996883774
660	0.1994979858
661	0.199304142
662	0.1990337753
663	0.1987247467
664	0.1984145355
665	0.1981185532
666	0.1979623413
667	0.1977372932
668	0.1974975967
669	0.1973261452
670	0.1970631599
671	0.1968032837
672	0.1966640472
673	0.1964141464
674	0.1960671425
675	0.1958911896
676	0.1955775452
677	0.195438652
678	0.1951074791
679	0.1948680496
680	0.1947365952
681	0.1945927048
682	0.1944255829
683	0.1942821884
684	0.1939693451
685	0.1937581253
686	0.1935749817
687	0.1933908653
688	0.1931283951
689	0.1928967285
690	0.1926224136
691	0.1923812675
692	0.1921473694
693	0.1919869232
694	0.1915966034
695	0.1913152122
696	0.1910528183
697	0.1906794739
698	0.1904544067
699	0.1902101135
700	0.1901220322
701	0.1898402023
702	0.1896179199
703	0.1893132782
704	0.1891046715
705	0.1888449097
706	0.1885992432
707	0.1884249496
708	0.1879486275
709	0.1875868034
710	0.1873715591
711	0.187084713
712	0.1867417145
713	0.1865593338
714	0.1861790466
715	0.1860130501
