iter	Passed	Remaining
0	2	2793
1	4	2459
2	7	2398
3	9	2301
4	11	2369
5	14	2458
6	17	2452
7	19	2387
8	21	2349
9	23	2372
10	26	2341
11	27	2283
12	30	2279
13	31	2220
14	34	2250
15	36	2262
16	49	2854
17	51	2815
18	53	2785
19	56	2754
20	58	2717
21	60	2679
22	62	2651
23	64	2619
24	66	2583
25	68	2570
26	71	2565
27	73	2554
28	75	2534
29	78	2531
30	80	2516
31	82	2509
32	85	2503
33	88	2501
34	90	2493
35	92	2485
36	94	2459
37	96	2447
38	99	2443
39	101	2439
40	103	2414
41	105	2404
42	108	2404
43	109	2387
44	112	2387
45	114	2384
46	117	2375
47	119	2371
48	122	2371
49	124	2368
50	127	2364
51	129	2360
52	131	2356
53	134	2353
54	136	2351
55	139	2346
56	141	2344
57	144	2340
58	146	2337
59	148	2333
60	151	2330
61	153	2323
62	156	2320
63	158	2317
64	160	2308
65	162	2302
66	165	2299
67	167	2297
68	169	2286
69	171	2280
70	174	2277
71	176	2274
72	178	2272
73	180	2262
74	182	2253
75	184	2248
76	187	2250
77	189	2245
78	191	2236
79	194	2238
80	196	2228
81	199	2230
82	201	2228
83	204	2226
84	206	2224
85	208	2218
86	211	2216
87	213	2214
88	215	2210
89	218	2208
90	220	2207
91	223	2204
92	225	2202
93	228	2200
94	230	2192
95	232	2189
96	235	2188
97	237	2186
98	239	2183
99	242	2180
100	244	2177
101	247	2177
102	249	2169
103	251	2166
104	254	2165
105	256	2160
106	258	2153
107	260	2150
108	263	2150
109	265	2146
110	267	2145
111	269	2137
112	271	2130
113	273	2126
114	275	2121
115	277	2116
116	280	2114
117	282	2109
118	284	2104
119	286	2102
120	288	2096
121	290	2088
122	292	2086
123	294	2083
124	296	2078
125	299	2076
126	302	2077
127	303	2069
128	306	2066
129	308	2065
130	310	2061
131	313	2059
132	315	2057
133	317	2053
134	320	2050
135	322	2047
136	324	2044
137	326	2042
138	329	2041
139	332	2039
140	334	2037
141	337	2036
142	339	2034
143	341	2032
144	344	2030
145	347	2030
146	348	2023
147	350	2019
148	352	2015
149	355	2012
150	357	2010
151	360	2009
152	362	2006
153	364	2004
154	367	2002
155	369	1999
156	372	1998
157	374	1996
158	376	1992
159	379	1991
160	381	1985
161	383	1983
162	385	1981
163	388	1979
164	390	1978
165	393	1976
166	395	1973
167	398	1972
168	400	1970
169	403	1968
170	405	1966
171	408	1964
172	410	1962
173	412	1960
174	415	1958
175	417	1956
176	420	1955
177	422	1953
178	425	1951
179	427	1949
180	430	1946
181	432	1944
182	435	1942
183	437	1939
184	439	1937
185	442	1935
186	444	1933
187	447	1932
188	449	1930
189	452	1928
190	454	1926
191	457	1924
192	459	1922
193	462	1920
194	464	1918
195	467	1916
196	468	1911
197	471	1909
198	473	1907
199	475	1903
200	478	1901
201	481	1900
202	483	1898
203	486	1897
204	488	1895
205	491	1893
206	493	1890
207	495	1887
208	498	1885
209	500	1883
210	502	1880
211	505	1878
212	508	1877
213	510	1873
214	511	1869
215	514	1866
216	516	1863
217	518	1861
218	521	1859
219	523	1855
220	525	1851
221	527	1849
222	530	1847
223	532	1845
224	535	1843
225	537	1841
226	540	1839
227	542	1837
228	544	1832
229	546	1830
230	549	1827
231	551	1825
232	553	1823
233	556	1821
234	558	1819
235	561	1817
236	563	1815
237	566	1812
238	568	1810
239	571	1808
240	573	1806
241	576	1804
242	578	1802
243	580	1799
244	582	1796
245	585	1794
246	588	1793
247	590	1790
248	592	1788
249	595	1786
250	597	1783
251	600	1782
252	602	1779
253	605	1777
254	607	1775
255	610	1773
256	612	1771
257	614	1767
258	617	1765
259	619	1763
260	622	1761
261	624	1759
262	626	1756
263	629	1755
264	632	1752
265	634	1750
266	636	1748
267	639	1746
268	641	1744
269	644	1742
270	646	1739
271	649	1737
272	651	1735
273	654	1733
274	656	1731
275	658	1728
276	661	1725
277	663	1723
278	666	1721
279	668	1718
280	670	1716
281	673	1714
282	675	1711
283	677	1709
284	680	1706
285	682	1704
286	684	1701
287	687	1699
288	689	1697
289	692	1695
290	694	1693
291	697	1691
292	699	1688
293	702	1686
294	704	1683
295	707	1682
296	709	1680
297	712	1678
298	715	1676
299	717	1673
300	719	1669
301	721	1668
302	724	1665
303	726	1664
304	729	1661
305	731	1658
306	733	1656
307	736	1653
308	738	1651
309	740	1647
310	742	1644
311	744	1642
312	746	1638
313	748	1635
314	751	1633
315	753	1630
316	755	1627
317	757	1625
318	760	1622
319	762	1620
320	765	1618
321	767	1615
322	769	1613
323	772	1610
324	774	1607
325	775	1604
326	778	1601
327	780	1599
328	783	1597
329	785	1594
330	787	1591
331	789	1589
332	791	1585
333	793	1582
334	795	1578
335	797	1575
336	799	1573
337	802	1571
338	804	1568
339	806	1565
340	808	1563
341	811	1560
342	813	1558
343	815	1555
344	818	1553
345	820	1550
346	822	1548
347	825	1545
348	827	1543
349	829	1540
350	831	1538
351	834	1535
352	836	1532
353	838	1529
354	840	1527
355	842	1524
356	845	1522
357	847	1519
358	849	1516
359	852	1514
360	854	1512
361	856	1509
362	858	1506
363	860	1504
364	863	1501
365	865	1499
366	868	1497
367	870	1494
368	872	1492
369	874	1489
370	876	1486
371	879	1483
372	881	1481
373	883	1478
374	885	1476
375	888	1474
376	890	1471
377	892	1468
378	894	1465
379	896	1463
380	898	1460
381	901	1457
382	903	1454
383	905	1452
384	907	1450
385	909	1447
386	912	1444
387	914	1442
388	916	1439
389	919	1437
390	921	1435
391	923	1432
392	925	1429
393	928	1427
394	930	1425
395	932	1422
396	934	1419
397	937	1417
398	939	1415
399	942	1413
400	944	1410
401	946	1407
402	948	1405
403	950	1402
404	952	1399
405	954	1397
406	956	1394
407	958	1391
408	960	1388
409	962	1385
410	965	1383
411	967	1380
412	969	1377
413	971	1374
414	973	1371
415	975	1368
416	976	1365
417	979	1363
418	980	1360
419	982	1357
420	984	1354
421	986	1351
422	988	1348
423	990	1345
424	992	1343
425	994	1340
426	996	1337
427	998	1334
428	1000	1331
429	1002	1329
430	1004	1326
431	1007	1324
432	1009	1322
433	1012	1319
434	1014	1317
435	1016	1315
436	1018	1312
437	1020	1309
438	1023	1307
439	1024	1304
440	1026	1301
441	1028	1298
442	1030	1295
443	1031	1291
444	1033	1289
445	1036	1287
446	1038	1285
447	1041	1282
448	1043	1280
449	1045	1278
450	1047	1275
451	1050	1273
452	1052	1271
453	1055	1269
454	1057	1266
455	1060	1264
456	1061	1261
457	1064	1259
458	1066	1257
459	1068	1254
460	1071	1252
461	1073	1249
462	1074	1246
463	1077	1244
464	1079	1241
465	1081	1239
466	1084	1237
467	1086	1235
468	1089	1233
469	1091	1231
470	1094	1229
471	1096	1226
472	1098	1224
473	1101	1222
474	1103	1219
475	1104	1216
476	1107	1214
